"","Cell","Organism","Attribute","Value","Nlevel"
"321",1,"17","StoredNitrogen",1.3188,"low"
"322",2,"17","StoredNitrogen",0.045125,"low"
"323",3,"17","StoredNitrogen",0.045125,"low"
"324",4,"17","StoredNitrogen",0.072708,"low"
"325",5,"17","StoredNitrogen",0.040781,"low"
"326",6,"17","StoredNitrogen",0.040546,"low"
"327",7,"17","StoredNitrogen",0.042448,"low"
"328",8,"17","StoredNitrogen",0.04019,"low"
"329",9,"17","StoredNitrogen",0.043309,"low"
"330",10,"17","StoredNitrogen",0.058252,"low"
"331",11,"17","StoredNitrogen",0.047583,"low"
"332",12,"17","StoredNitrogen",0.023619,"low"
"333",13,"17","StoredNitrogen",0.023619,"low"
"334",14,"17","StoredNitrogen",0.041342,"low"
"335",15,"17","StoredNitrogen",0.04142,"low"
"336",16,"17","StoredNitrogen",0.029514,"low"
"337",17,"17","StoredNitrogen",0.029549,"low"
"338",18,"17","StoredNitrogen",0.042153,"low"
"339",19,"17","StoredNitrogen",0.042363,"low"
"340",20,"17","StoredNitrogen",0.66657,"low"
"341",1,"18","StoredNitrogen",0.80884,"low"
"342",2,"18","StoredNitrogen",0.067999,"low"
"343",3,"18","StoredNitrogen",0.057983,"low"
"344",4,"18","StoredNitrogen",0.035844,"low"
"345",5,"18","StoredNitrogen",0.034196,"low"
"346",6,"18","StoredNitrogen",0.040054,"low"
"347",7,"18","StoredNitrogen",0.039022,"low"
"348",8,"18","StoredNitrogen",0.021519,"low"
"349",9,"18","StoredNitrogen",0.021519,"low"
"350",10,"18","StoredNitrogen",0.045616,"low"
"351",11,"18","StoredNitrogen",0.058091,"low"
"352",12,"18","StoredNitrogen",0.045179,"low"
"353",13,"18","StoredNitrogen",0.04375,"low"
"354",14,"18","StoredNitrogen",0.045338,"low"
"355",15,"18","StoredNitrogen",0.04429,"low"
"356",16,"18","StoredNitrogen",0.045412,"low"
"357",17,"18","StoredNitrogen",0.078077,"low"
"358",18,"18","StoredNitrogen",0.048543,"low"
"359",19,"18","StoredNitrogen",0.048543,"low"
"360",20,"18","StoredNitrogen",1.3644,"low"
"361",1,"19","StoredNitrogen",0.82654,"low"
"362",2,"19","StoredNitrogen",0.081576,"low"
"363",3,"19","StoredNitrogen",0.029162,"low"
"364",4,"19","StoredNitrogen",0.029087,"low"
"365",5,"19","StoredNitrogen",0.03244,"low"
"366",6,"19","StoredNitrogen",0.031369,"low"
"367",7,"19","StoredNitrogen",0.038121,"low"
"368",8,"19","StoredNitrogen",0.03811,"low"
"369",9,"19","StoredNitrogen",0.046164,"low"
"370",10,"19","StoredNitrogen",0.06978,"low"
"371",11,"19","StoredNitrogen",0.020597,"low"
"372",12,"19","StoredNitrogen",0.020597,"low"
"373",13,"19","StoredNitrogen",0.044758,"low"
"374",14,"19","StoredNitrogen",0.043003,"low"
"375",15,"19","StoredNitrogen",0.046546,"low"
"376",16,"19","StoredNitrogen",0.042065,"low"
"377",17,"19","StoredNitrogen",0.042624,"low"
"378",18,"19","StoredNitrogen",0.069225,"low"
"379",19,"19","StoredNitrogen",0.075516,"low"
"380",20,"19","StoredNitrogen",1.303,"low"
"381",1,"20","StoredNitrogen",0.68915,"low"
"382",2,"20","StoredNitrogen",0.047186,"low"
"383",3,"20","StoredNitrogen",0.045619,"low"
"384",4,"20","StoredNitrogen",0.066727,"low"
"385",5,"20","StoredNitrogen",0.039936,"low"
"386",6,"20","StoredNitrogen",0.039082,"low"
"387",7,"20","StoredNitrogen",0.046411,"low"
"388",8,"20","StoredNitrogen",0.024033,"low"
"389",9,"20","StoredNitrogen",0.025098,"low"
"390",10,"20","StoredNitrogen",0.088381,"low"
"391",11,"20","StoredNitrogen",0.045559,"low"
"392",12,"20","StoredNitrogen",0.040993,"low"
"393",13,"20","StoredNitrogen",0.044949,"low"
"394",14,"20","StoredNitrogen",0.044652,"low"
"395",15,"20","StoredNitrogen",0.044821,"low"
"396",16,"20","StoredNitrogen",0.039395,"low"
"397",17,"20","StoredNitrogen",0.039395,"low"
"398",18,"20","StoredNitrogen",0.064657,"low"
"399",19,"20","StoredNitrogen",0.06651,"low"
"400",20,"20","StoredNitrogen",1.4202,"low"
"401",1,"21","StoredNitrogen",1.3123,"low"
"402",2,"21","StoredNitrogen",0.07913,"low"
"403",3,"21","StoredNitrogen",0.068154,"low"
"404",4,"21","StoredNitrogen",0.044522,"low"
"405",5,"21","StoredNitrogen",0.04452,"low"
"406",6,"21","StoredNitrogen",0.023104,"low"
"407",7,"21","StoredNitrogen",0.023014,"low"
"408",8,"21","StoredNitrogen",0.039748,"low"
"409",9,"21","StoredNitrogen",0.042713,"low"
"410",10,"21","StoredNitrogen",0.056609,"low"
"411",11,"21","StoredNitrogen",0.023583,"low"
"412",12,"21","StoredNitrogen",0.023583,"low"
"413",13,"21","StoredNitrogen",0.046199,"low"
"414",14,"21","StoredNitrogen",0.038194,"low"
"415",15,"21","StoredNitrogen",0.039208,"low"
"416",16,"21","StoredNitrogen",0.03524,"low"
"417",17,"21","StoredNitrogen",0.036373,"low"
"418",18,"21","StoredNitrogen",0.054649,"low"
"419",19,"21","StoredNitrogen",0.057366,"low"
"420",20,"21","StoredNitrogen",0.75576,"low"
"421",1,"22","StoredNitrogen",0.80158,"low"
"422",2,"22","StoredNitrogen",0.057023,"low"
"423",3,"22","StoredNitrogen",0.054322,"low"
"424",4,"22","StoredNitrogen",0.038928,"low"
"425",5,"22","StoredNitrogen",0.038257,"low"
